"Muestra" "Descripcion" "Anio" "TipoAccidente" "Cantidad"
"140" "Comunal" "QUILLOTA" 2011 "Atropello" 59
"141" "Comunal" "CALERA" 2010 "Atropello" 36
"142" "Comunal" "CALERA" 2011 "Atropello" 33
"143" "Comunal" "HIJUELAS" 2010 "Atropello" 8
"144" "Comunal" "HIJUELAS" 2011 "Atropello" 8
"145" "Comunal" "LA CRUZ" 2010 "Atropello" 4
"146" "Comunal" "LA CRUZ" 2011 "Atropello" 4
"147" "Comunal" "LIMACHE" 2010 "Atropello" 16
"148" "Comunal" "LIMACHE" 2011 "Atropello" 19
"149" "Comunal" "NOGALES" 2010 "Atropello" 7
"150" "Comunal" "NOGALES" 2011 "Atropello" 12
"151" "Comunal" "OLMUE" 2010 "Atropello" 4
"152" "Comunal" "OLMUE" 2011 "Atropello" 5
"153" "Comunal" "SAN ANTONIO" 2010 "Atropello" 87
"154" "Comunal" "SAN ANTONIO" 2011 "Atropello" 80
"155" "Comunal" "ALGARROBO" 2010 "Atropello" 3
"156" "Comunal" "ALGARROBO" 2011 "Atropello" 5
"157" "Comunal" "CARTAGENA" 2010 "Atropello" 11
"158" "Comunal" "CARTAGENA" 2011 "Atropello" 11
"159" "Comunal" "EL QUISCO" 2010 "Atropello" 0
"160" "Comunal" "EL QUISCO" 2011 "Atropello" 4
"161" "Comunal" "EL TABO" 2010 "Atropello" 4
"162" "Comunal" "EL TABO" 2011 "Atropello" 3
"163" "Comunal" "SANTO DOMINGO" 2010 "Atropello" 2
"164" "Comunal" "SANTO DOMINGO" 2011 "Atropello" 1
"165" "Comunal" "SAN FELIPE" 2010 "Atropello" 27
"166" "Comunal" "SAN FELIPE" 2011 "Atropello" 43
"167" "Comunal" "CATEMU" 2010 "Atropello" 3
"168" "Comunal" "CATEMU" 2011 "Atropello" 2
"169" "Comunal" "LLAILLAY" 2010 "Atropello" 12
"170" "Comunal" "LLAILLAY" 2011 "Atropello" 7
"171" "Comunal" "PANQUEHUE" 2010 "Atropello" 0
"172" "Comunal" "PANQUEHUE" 2011 "Atropello" 4
"173" "Comunal" "PUTAENDO" 2010 "Atropello" 5
"174" "Comunal" "PUTAENDO" 2011 "Atropello" 4
"175" "Comunal" "SANTA MARIA" 2010 "Atropello" 2
"176" "Comunal" "SANTA MARIA" 2011 "Atropello" 2
"177" "Regional" "VI Región del Lib. Bdo. O´Higgins" 2010 "Atropello" 404
"178" "Regional" "VI Región del Lib. Bdo. O´Higgins" 2011 "Atropello" 371
"179" "Comunal" "RANCAGUA" 2010 "Atropello" 196
"180" "Comunal" "RANCAGUA" 2011 "Atropello" 160
"181" "Comunal" "CODEGUA" 2010 "Atropello" 1
"182" "Comunal" "CODEGUA" 2011 "Atropello" 3
"183" "Comunal" "COINCO" 2010 "Atropello" 1
"184" "Comunal" "COINCO" 2011 "Atropello" 0
"185" "Comunal" "COLTAUCO" 2010 "Atropello" 4
"186" "Comunal" "COLTAUCO" 2011 "Atropello" 2
"187" "Comunal" "DONIHUE" 2010 "Atropello" 1
"188" "Comunal" "DONIHUE" 2011 "Atropello" 1
"189" "Comunal" "GRANEROS" 2010 "Atropello" 11
"190" "Comunal" "GRANEROS" 2011 "Atropello" 6
"191" "Comunal" "LAS CABRAS" 2010 "Atropello" 8
"192" "Comunal" "LAS CABRAS" 2011 "Atropello" 16
"193" "Comunal" "MACHALI" 2010 "Atropello" 13
"194" "Comunal" "MACHALI" 2011 "Atropello" 8
"195" "Comunal" "MALLOA" 2010 "Atropello" 1
"196" "Comunal" "MALLOA" 2011 "Atropello" 11
"197" "Comunal" "MOSTAZAL" 2010 "Atropello" 3
"198" "Comunal" "MOSTAZAL" 2011 "Atropello" 7
"199" "Comunal" "OLIVAR" 2010 "Atropello" 11
"200" "Comunal" "OLIVAR" 2011 "Atropello" 3
"201" "Comunal" "PEUMO" 2010 "Atropello" 7
"202" "Comunal" "PEUMO" 2011 "Atropello" 5
"203" "Comunal" "PICHIDEGUA" 2010 "Atropello" 1
"204" "Comunal" "PICHIDEGUA" 2011 "Atropello" 4
"205" "Comunal" "QUINTA DE TILCOCO" 2010 "Atropello" 5
"206" "Comunal" "QUINTA DE TILCOCO" 2011 "Atropello" 3
"207" "Comunal" "RENGO" 2010 "Atropello" 20
"208" "Comunal" "RENGO" 2011 "Atropello" 37
"209" "Comunal" "REQUINOA" 2010 "Atropello" 7
"210" "Comunal" "REQUINOA" 2011 "Atropello" 13
"211" "Comunal" "SAN VICENTE" 2010 "Atropello" 25
"212" "Comunal" "SAN VICENTE" 2011 "Atropello" 23
"213" "Comunal" "PICHILEMU" 2010 "Atropello" 11
"214" "Comunal" "PICHILEMU" 2011 "Atropello" 9
"215" "Comunal" "LA ESTRELLA" 2010 "Atropello" 0
"216" "Comunal" "LA ESTRELLA" 2011 "Atropello" 0
"217" "Comunal" "LITUECHE" 2010 "Atropello" 1
"218" "Comunal" "LITUECHE" 2011 "Atropello" 2
"219" "Comunal" "MARCHIHUE" 2010 "Atropello" 2
"220" "Comunal" "MARCHIHUE" 2011 "Atropello" 1
"221" "Comunal" "NAVIDAD" 2010 "Atropello" 0
"222" "Comunal" "NAVIDAD" 2011 "Atropello" 1
"223" "Comunal" "PAREDONES" 2010 "Atropello" 0
"224" "Comunal" "PAREDONES" 2011 "Atropello" 1
"225" "Comunal" "SAN FERNANDO" 2010 "Atropello" 22
"226" "Comunal" "SAN FERNANDO" 2011 "Atropello" 18
"227" "Comunal" "CHEPICA" 2010 "Atropello" 5
"228" "Comunal" "CHEPICA" 2011 "Atropello" 2
"229" "Comunal" "CHIMBARONGO" 2010 "Atropello" 7
"230" "Comunal" "CHIMBARONGO" 2011 "Atropello" 1
"231" "Comunal" "LOLOL" 2010 "Atropello" 2
"232" "Comunal" "LOLOL" 2011 "Atropello" 1
"233" "Comunal" "NANCAGUA" 2010 "Atropello" 1
"234" "Comunal" "NANCAGUA" 2011 "Atropello" 3
"235" "Comunal" "PALMILLA" 2010 "Atropello" 4
"236" "Comunal" "PALMILLA" 2011 "Atropello" 6
"237" "Comunal" "PERALILLO" 2010 "Atropello" 4
"238" "Comunal" "PERALILLO" 2011 "Atropello" 1
"239" "Comunal" "PLACILLA" 2010 "Atropello" 3
"240" "Comunal" "PLACILLA" 2011 "Atropello" 0
"241" "Comunal" "PUMANQUE" 2010 "Atropello" 1
"242" "Comunal" "PUMANQUE" 2011 "Atropello" 0
"243" "Comunal" "SANTA CRUZ" 2010 "Atropello" 26
"244" "Comunal" "SANTA CRUZ" 2011 "Atropello" 23
"245" "Regional" "VII Región del Maule" 2010 "Atropello" 501
"246" "Regional" "VII Región del Maule" 2011 "Atropello" 447
"247" "Comunal" "TALCA" 2010 "Atropello" 112
"248" "Comunal" "TALCA" 2011 "Atropello" 87
"249" "Comunal" "CONSTITUCION" 2010 "Atropello" 23
"250" "Comunal" "CONSTITUCION" 2011 "Atropello" 33
"251" "Comunal" "CUREPTO" 2010 "Atropello" 2
"252" "Comunal" "CUREPTO" 2011 "Atropello" 1
"253" "Comunal" "EMPEDRADO" 2010 "Atropello" 1
"254" "Comunal" "EMPEDRADO" 2011 "Atropello" 0
"255" "Comunal" "MAULE" 2010 "Atropello" 4
"256" "Comunal" "MAULE" 2011 "Atropello" 3
"257" "Comunal" "PELARCO" 2010 "Atropello" 3
"258" "Comunal" "PELARCO" 2011 "Atropello" 0
"259" "Comunal" "PENCAHUE" 2010 "Atropello" 0
"260" "Comunal" "PENCAHUE" 2011 "Atropello" 0
"261" "Comunal" "RIO CLARO" 2010 "Atropello" 5
"262" "Comunal" "RIO CLARO" 2011 "Atropello" 3
"263" "Comunal" "SAN CLEMENTE" 2010 "Atropello" 16
"264" "Comunal" "SAN CLEMENTE" 2011 "Atropello" 18
"265" "Comunal" "SAN RAFAEL" 2010 "Atropello" 1
"266" "Comunal" "SAN RAFAEL" 2011 "Atropello" 3
"267" "Comunal" "CAUQUENES" 2010 "Atropello" 26
"268" "Comunal" "CAUQUENES" 2011 "Atropello" 23
"269" "Comunal" "CHANCO" 2010 "Atropello" 3
"270" "Comunal" "CHANCO" 2011 "Atropello" 1
"271" "Comunal" "PELLUHUE" 2010 "Atropello" 10
"272" "Comunal" "PELLUHUE" 2011 "Atropello" 3
"273" "Comunal" "CURICO" 2010 "Atropello" 98
"274" "Comunal" "CURICO" 2011 "Atropello" 83
"275" "Comunal" "HUALANE" 2010 "Atropello" 3
"276" "Comunal" "HUALANE" 2011 "Atropello" 3
"277" "Comunal" "LICANTEN" 2010 "Atropello" 5
"278" "Comunal" "LICANTEN" 2011 "Atropello" 6
"279" "Comunal" "MOLINA" 2010 "Atropello" 13
"280" "Comunal" "MOLINA" 2011 "Atropello" 18
"281" "Comunal" "RAUCO" 2010 "Atropello" 1
"282" "Comunal" "RAUCO" 2011 "Atropello" 2
"283" "Comunal" "ROMERAL" 2010 "Atropello" 3
"284" "Comunal" "ROMERAL" 2011 "Atropello" 8
"285" "Comunal" "SAGRADA FAMILIA" 2010 "Atropello" 4
"286" "Comunal" "SAGRADA FAMILIA" 2011 "Atropello" 3
"287" "Comunal" "TENO" 2010 "Atropello" 8
"288" "Comunal" "TENO" 2011 "Atropello" 7
"289" "Comunal" "VICHUQUEN" 2010 "Atropello" 2
"290" "Comunal" "VICHUQUEN" 2011 "Atropello" 0
"291" "Comunal" "LINARES" 2010 "Atropello" 88
"292" "Comunal" "LINARES" 2011 "Atropello" 76
"293" "Comunal" "COLBUN" 2010 "Atropello" 13
"294" "Comunal" "COLBUN" 2011 "Atropello" 7
"295" "Comunal" "LONGAVI" 2010 "Atropello" 15
"296" "Comunal" "LONGAVI" 2011 "Atropello" 8
"297" "Comunal" "PARRAL" 2010 "Atropello" 13
"298" "Comunal" "PARRAL" 2011 "Atropello" 19
"299" "Comunal" "RETIRO" 2010 "Atropello" 3
"300" "Comunal" "RETIRO" 2011 "Atropello" 4
"301" "Comunal" "SAN JAVIER" 2010 "Atropello" 18
"302" "Comunal" "SAN JAVIER" 2011 "Atropello" 18
"303" "Comunal" "VILLA ALEGRE" 2010 "Atropello" 7
"304" "Comunal" "VILLA ALEGRE" 2011 "Atropello" 3
"305" "Comunal" "YERBAS BUENAS" 2010 "Atropello" 1
"306" "Comunal" "YERBAS BUENAS" 2011 "Atropello" 7
"307" "Regional" "VIII Región del Bio-Bio" 2010 "Atropello" 1169
"308" "Regional" "VII Región del Bio-Bio" 2011 "Atropello" 1224
"309" "Comunal" "CONCEPCION" 2010 "Atropello" 285
"310" "Comunal" "CONCEPCION" 2011 "Atropello" 248
"311" "Comunal" "CORONEL" 2010 "Atropello" 55
"312" "Comunal" "CORONEL" 2011 "Atropello" 60
"313" "Comunal" "CHIGUAYANTE" 2010 "Atropello" 22
"314" "Comunal" "CHIGUAYANTE" 2011 "Atropello" 32
"315" "Comunal" "FLORIDA" 2010 "Atropello" 4
"316" "Comunal" "FLORIDA" 2011 "Atropello" 6
"317" "Comunal" "HUALQUI" 2010 "Atropello" 0
"318" "Comunal" "HUALQUI" 2011 "Atropello" 0
"319" "Comunal" "LOTA" 2010 "Atropello" 51
"320" "Comunal" "LOTA" 2011 "Atropello" 44
"321" "Comunal" "PENCO" 2010 "Atropello" 22
"322" "Comunal" "PENCO" 2011 "Atropello" 32
"323" "Comunal" "SAN PEDRO DE LA PAZ" 2010 "Atropello" 60
"324" "Comunal" "SAN PEDRO DE LA PAZ" 2011 "Atropello" 31
"325" "Comunal" "SANTA JUANA" 2010 "Atropello" 4
"326" "Comunal" "SANTA JUANA" 2011 "Atropello" 4
"327" "Comunal" "TALCAHUANO" 2010 "Atropello" 65
"328" "Comunal" "TALCAHUANO" 2011 "Atropello" 61
"329" "Comunal" "TOME" 2010 "Atropello" 33
"330" "Comunal" "TOME" 2011 "Atropello" 26
"331" "Comunal" "HUALPEN" 2010 "Atropello" 38
"332" "Comunal" "HUALPEN" 2011 "Atropello" 41
"333" "Comunal" "LEBU" 2010 "Atropello" 9
"334" "Comunal" "LEBU" 2011 "Atropello" 19
"335" "Comunal" "ARAUCO" 2010 "Atropello" 20
"336" "Comunal" "ARAUCO" 2011 "Atropello" 24
"337" "Comunal" "CANETE" 2010 "Atropello" 26
"338" "Comunal" "CANETE" 2011 "Atropello" 20
"339" "Comunal" "CONTULMO" 2010 "Atropello" 3
"340" "Comunal" "CONTULMO" 2011 "Atropello" 2
"341" "Comunal" "CURANILAHUE" 2010 "Atropello" 14
"342" "Comunal" "CURANILAHUE" 2011 "Atropello" 24
"343" "Comunal" "LOS ALAMOS" 2010 "Atropello" 17
"344" "Comunal" "LOS ALAMOS" 2011 "Atropello" 8
"345" "Comunal" "TIRUA" 2010 "Atropello" 3
"346" "Comunal" "TIRUA" 2011 "Atropello" 1
"347" "Comunal" "LOS ANGELES" 2010 "Atropello" 120
"348" "Comunal" "LOS ANGELES" 2011 "Atropello" 182
"349" "Comunal" "ANTUCO" 2010 "Atropello" 0
"350" "Comunal" "ANTUCO" 2011 "Atropello" 1
"351" "Comunal" "CABRERO" 2010 "Atropello" 9
"352" "Comunal" "CABRERO" 2011 "Atropello" 12
"353" "Comunal" "LAJA" 2010 "Atropello" 21
"354" "Comunal" "LAJA" 2011 "Atropello" 16
"355" "Comunal" "MULCHEN" 2010 "Atropello" 12
"356" "Comunal" "MULCHEN" 2011 "Atropello" 12
"357" "Comunal" "NACIMIENTO" 2010 "Atropello" 7
"358" "Comunal" "NACIMIENTO" 2011 "Atropello" 24
"359" "Comunal" "NEGRETE" 2010 "Atropello" 4
"360" "Comunal" "NEGRETE" 2011 "Atropello" 4
"361" "Comunal" "QUILACO" 2010 "Atropello" 0
"362" "Comunal" "QUILACO" 2011 "Atropello" 0
"363" "Comunal" "QUILLECO" 2010 "Atropello" 0
"364" "Comunal" "QUILLECO" 2011 "Atropello" 2
"365" "Comunal" "SAN ROSENDO" 2010 "Atropello" 0
"366" "Comunal" "SAN ROSENDO" 2011 "Atropello" 1
"367" "Comunal" "SANTA BARBARA" 2010 "Atropello" 1
"368" "Comunal" "SANTA BARBARA" 2011 "Atropello" 7
"369" "Comunal" "TUCAPEL" 2010 "Atropello" 3
"370" "Comunal" "TUCAPEL" 2011 "Atropello" 5
"371" "Comunal" "YUMBEL" 2010 "Atropello" 2
"372" "Comunal" "YUMBEL" 2011 "Atropello" 8
"373" "Comunal" "ALTO BIO BIO" 2010 "Atropello" 1
"374" "Comunal" "ALTO BIO BIO" 2011 "Atropello" 2
"375" "Comunal" "CHILLAN" 2010 "Atropello" 150
"376" "Comunal" "CHILLAN" 2011 "Atropello" 150
"377" "Comunal" "BULNES" 2010 "Atropello" 10
"378" "Comunal" "BULNES" 2011 "Atropello" 2
"379" "Comunal" "COBQUECURA" 2010 "Atropello" 0
"380" "Comunal" "COBQUECURA" 2011 "Atropello" 1
"381" "Comunal" "COELEMU" 2010 "Atropello" 4
"382" "Comunal" "COELEMU" 2011 "Atropello" 4
"383" "Comunal" "COIHUECO" 2010 "Atropello" 7
"384" "Comunal" "COIHUECO" 2011 "Atropello" 6
"385" "Comunal" "CHILLAN VIEJO" 2010 "Atropello" 8
"386" "Comunal" "CHILLAN VIEJO" 2011 "Atropello" 18
"387" "Comunal" "EL CARMEN" 2010 "Atropello" 5
"388" "Comunal" "EL CARMEN" 2011 "Atropello" 5
"389" "Comunal" "NINHUE" 2010 "Atropello" 3
"390" "Comunal" "NINHUE" 2011 "Atropello" 3
"391" "Comunal" "NIQUEN" 2010 "Atropello" 1
"392" "Comunal" "NIQUEN" 2011 "Atropello" 4
"393" "Comunal" "PEMUCO" 2010 "Atropello" 4
"394" "Comunal" "PEMUCO" 2011 "Atropello" 3
"395" "Comunal" "PINTO" 2010 "Atropello" 8
"396" "Comunal" "PINTO" 2011 "Atropello" 4
"397" "Comunal" "PORTEZUELO" 2010 "Atropello" 2
"398" "Comunal" "PORTEZUELO" 2011 "Atropello" 0
"399" "Comunal" "QUILLON" 2010 "Atropello" 6
"400" "Comunal" "QUILLON" 2011 "Atropello" 6
"401" "Comunal" "QUIRIHUE" 2010 "Atropello" 7
"402" "Comunal" "QUIRIHUE" 2011 "Atropello" 8
"403" "Comunal" "RANQUIL" 2010 "Atropello" 0
"404" "Comunal" "RANQUIL" 2011 "Atropello" 1
"405" "Comunal" "SAN CARLOS" 2010 "Atropello" 35
"406" "Comunal" "SAN CARLOS" 2011 "Atropello" 30
"407" "Comunal" "SAN FABIAN" 2010 "Atropello" 0
"408" "Comunal" "SAN FABIAN" 2011 "Atropello" 1
"409" "Comunal" "SAN IGNACIO" 2010 "Atropello" 2
"410" "Comunal" "SAN IGNACIO" 2011 "Atropello" 6
"411" "Comunal" "SAN NICOLAS" 2010 "Atropello" 2
"412" "Comunal" "SAN NICOLAS" 2011 "Atropello" 4
"413" "Comunal" "TREGUACO" 2010 "Atropello" 0
"414" "Comunal" "TREGUACO" 2011 "Atropello" 1
"415" "Comunal" "YUNGAY" 2010 "Atropello" 4
"416" "Comunal" "YUNGAY" 2011 "Atropello" 8
"417" "Regional" "IX Región de la Araucanía" 2010 "Atropello" 487
"418" "Regional" "IX Región de la Araucanía" 2011 "Atropello" 519
"419" "Comunal" "TEMUCO" 2010 "Atropello" 264
"420" "Comunal" "TEMUCO" 2011 "Atropello" 244
"421" "Comunal" "CARAHUE" 2010 "Atropello" 6
"422" "Comunal" "CARAHUE" 2011 "Atropello" 5
"423" "Comunal" "CUNCO" 2010 "Atropello" 2
"424" "Comunal" "CUNCO" 2011 "Atropello" 3
"425" "Comunal" "CURARREHUE" 2010 "Atropello" 4
"426" "Comunal" "CURARREHUE" 2011 "Atropello" 0
"427" "Comunal" "FREIRE" 2010 "Atropello" 13
"428" "Comunal" "FREIRE" 2011 "Atropello" 11
"429" "Comunal" "GALVARINO" 2010 "Atropello" 2
"430" "Comunal" "GALVARINO" 2011 "Atropello" 2
"431" "Comunal" "GORBEA" 2010 "Atropello" 1
"432" "Comunal" "GORBEA" 2011 "Atropello" 0
"433" "Comunal" "LAUTARO" 2010 "Atropello" 19
"434" "Comunal" "LAUTARO" 2011 "Atropello" 18
"435" "Comunal" "LONCOCHE" 2010 "Atropello" 9
"436" "Comunal" "LONCOCHE" 2011 "Atropello" 11
"437" "Comunal" "MELIPEUCO" 2010 "Atropello" 0
"438" "Comunal" "MELIPEUCO" 2011 "Atropello" 4
"439" "Comunal" "NUEVA IMPERIAL" 2010 "Atropello" 11
"440" "Comunal" "NUEVA IMPERIAL" 2011 "Atropello" 10
"441" "Comunal" "PADRE LAS CASAS" 2010 "Atropello" 11
"442" "Comunal" "PADRE LAS CASAS" 2011 "Atropello" 19
"443" "Comunal" "PERQUENCO" 2010 "Atropello" 3
"444" "Comunal" "PERQUENCO" 2011 "Atropello" 2
"445" "Comunal" "PITRUFQUEN" 2010 "Atropello" 13
"446" "Comunal" "PITRUFQUEN" 2011 "Atropello" 10
"447" "Comunal" "PUCON" 2010 "Atropello" 14
"448" "Comunal" "PUCON" 2011 "Atropello" 21
"449" "Comunal" "SAAVEDRA" 2010 "Atropello" 0
